"bundle","entity_id","langcode","field_sale_price_number","field_sale_price_currency_code"
"artwork","36","en","7500.000000","EUR"
"artwork","37","en","3700.000000","EUR"
"artwork","38","en","5500.000000","EUR"
"artwork","39","en","5500.000000","EUR"
"artwork","41","en","5500.000000","EUR"
"artwork","42","en","2700.000000","EUR"
"artwork","43","en","10000.000000","EUR"
"artwork","44","en","2300.000000","EUR"
"artwork","45","en","2300.000000","EUR"
"artwork","46","en","2700.000000","EUR"
"artwork","47","en","2700.000000","EUR"
"artwork","48","en","2100.000000","EUR"
"artwork","52","en","11500.000000","EUR"
"artwork","53","en","11500.000000","EUR"
"artwork","54","en","5500.000000","EUR"
"artwork","55","en","7500.000000","EUR"
"artwork","56","en","7500.000000","EUR"
"artwork","57","en","11600.000000","EUR"
"artwork","58","en","45000.000000","EUR"
"artwork","59","en","50000.000000","EUR"
"artwork","60","en","25000.000000","EUR"
"artwork","61","en","6000.000000","EUR"
"artwork","62","en","7000.000000","EUR"
"artwork","63","en","7000.000000","EUR"
"artwork","64","en","6000.000000","EUR"
"artwork","67","en","19400.000000","EUR"
"artwork","69","en","6000.000000","EUR"
"artwork","70","en","2800.000000","EUR"
"artwork","71","en","2800.000000","EUR"
"artwork","72","en","120000.000000","EUR"
"artwork","73","en","42000.000000","EUR"
"artwork","75","en","42000.000000","EUR"
"artwork","76","en","15000.000000","EUR"
"artwork","77","en","75000.000000","EUR"
"artwork","78","en","80000.000000","EUR"
"artwork","79","en","42000.000000","EUR"
"artwork","86","en","2100.000000","EUR"
"artwork","87","en","2100.000000","EUR"
"artwork","88","en","2100.000000","EUR"
"artwork","89","en","2100.000000","EUR"
"artwork","90","en","2100.000000","EUR"
"artwork","91","en","2100.000000","EUR"
"artwork","92","en","2100.000000","EUR"
"artwork","93","en","2100.000000","EUR"
"artwork","94","en","2100.000000","CNY"
"artwork","97","en","70000.000000","EUR"
"artwork","98","en","95000.000000","EUR"
"artwork","99","en","100000.000000","EUR"
"artwork","100","en","55000.000000","EUR"
"artwork","101","en","85000.000000","EUR"
"artwork","102","en","85000.000000","EUR"
"artwork","103","en","50000.000000","EUR"
"artwork","110","en","120000.000000","EUR"
"artwork","111","en","90000.000000","EUR"
"artwork","112","en","25000.000000","EUR"
"artwork","113","en","3500.000000","EUR"
"artwork","114","en","8000.000000","EUR"
"artwork","116","en","12000.000000","EUR"
"artwork","122","en","870.000000","EUR"
"artwork","125","en","3000.000000","EUR"
"artwork","129","en","14000.000000","EUR"
"artwork","165","en","3500.000000","EUR"
"artwork","191","en","24000.000000","EUR"
